Posição,Nome,Time,Rating,Preço_Mínimo,Tipo,EA_ID
ST,Kylian Mbappé,Real Madrid,91,120,Elite,231747
ST,Ousmane Dembélé,PSG,90,100,Elite,231443
ST,Erling Haaland,Manchester City,90,95,Elite,239085
ST,Harry Kane,Bayern Munich,89,80,Elite,202126
ST,Robert Lewandowski,Barcelona,88,70,Elite,188545
ST,Lautaro Martínez,Inter Milan,88,68,Elite,231478
ST,Alexander Isak,Liverpool,88,66,Elite,233731
ST,Serhou Guirassy,Borussia Dortmund,87,58,Elite,215441
ST,Julián Álvarez,Atlético Madrid,87,55,Elite,246191
ST,Viktor Gyökeres,Sporting,87,52,Elite,241651
ST,Cole Palmer,Chelsea,87,50,Elite,257534
ST,Ollie Watkins,Aston Villa,86,48,Elite,10
ST,Christopher Nkunku,Chelsea,86,46,Elite,11
ST,Victor Osimhen,Galatasaray,86,44,Elite,232293
ST,Darwin Núñez,Liverpool,85,42,Elite,13
ST,Jonathan David,Juventus,82,0,Mediano,243630
ST,Oyarzabal,Real Sociedad,82,0,Mediano,230142
ST,Jean-Philippe Mateta,Crystal Palace,82,0,Mediano,240134
ST,Yoane Wissa,Newcastle Utd,82,0,Mediano,233064
ST,Dušan Vlahović,Juventus,82,0,Mediano,246147
ST,Arkadiusz Milik,Juventus,82,0,Mediano,214875
ST,Sébastien Haller,Borussia Dortmund,81,0,Mediano,205693
ST,Andrea Belotti,Fiorentina,80,0,Mediano,211320
ST,Evanilson,FC Porto,79,0,Mediano,241093
LW,Mohamed Salah,Liverpool,91,110,Elite,209331
LW,Vinícius Júnior,Real Madrid,89,85,Elite,238794
LW,Raphinha,Barcelona,89,80,Elite,233419
LW,Bukayo Saka,Arsenal,88,75,Elite,246669
LW,Khvicha Kvaratskhelia,PSG,87,75,Elite,247635
LW,Heung Min Son,Tottenham,85,62,Elite,200104
LW,Marcus Rashford,Manchester United,85,55,Elite,24
LW,Rafael Leão,AC Milan,84,58,Elite,17
LW,Bradley Barcola,PSG,84,56,Elite,18
LW,Luis Díaz,Liverpool,84,52,Elite,241084
LW,Kingsley Coman,Bayern Munich,84,50,Elite,26
LW,Anthony Gordon,Newcastle,83,48,Elite,19
LW,Ferran Torres,Barcelona,83,46,Elite,20
LW,Leandro Trossard,Arsenal,83,44,Elite,21
LW,Salem Al Dawsari,Al Hilal,82,0,Mediano,211256
LW,Álex Berenguer,Athletic Club,82,0,Mediano,225881
LW,Yannick Carrasco,Atlético Madrid,81,0,Mediano,208418
LW,Gabriel Martinelli,Arsenal,81,0,Mediano,251566
LW,Harvey Barnes,Newcastle,80,0,Mediano,235790
LW,Armand Laurienté,Sassuolo,80,0,Mediano,246618
LW,Christian Pulisic,AC Milan,79,0,Mediano,227796
RW,Lamine Yamal,Barcelona,89,85,Elite,277643
RW,Michael Olise,Bayern Munich,86,68,Elite,247827
RW,Lionel Messi,Inter Miami,86,66,Elite,158023
RW,Bryan Mbeumo,Brentford,85,60,Elite,243014
RW,Désiré Doué,PSG,85,58,Elite,271421
RW,Phil Foden,Manchester City,85,56,Elite,237692
RW,Rodrygo,Real Madrid,85,54,Elite,243812
RW,Nico Williams,Athletic Bilbao,84,50,Elite,256516
RW,Jadon Sancho,Chelsea,84,48,Elite,35
RW,Federico Chiesa,Liverpool,84,46,Elite,36
RW,Takefusa Kubo,Real Sociedad,82,0,Mediano,237823
RW,Ángel Di María,Rosario Central,82,0,Mediano,183898
RW,Domenico Berardi,Sassuolo,82,0,Mediano,202750
RW,Mason Greenwood,OM,82,0,Mediano,246141
RW,Dodi Lukébakio,SL Benfica,82,0,Mediano,231580
RW,Ritsu Doan,Frankfurt,82,0,Mediano,237699
RW,Facundo Buonanotte,Brighton,82,0,Mediano,269869
RW,Amad Diallo,Manchester United,81,0,Mediano,256123
RW,Oscar Gloukh,RB Salzburg,80,0,Mediano,268297
RW,Tete,Galatasaray,78,0,Mediano,242000
